,Столбец 2,Столбец 3,Столбец 4,Столбец 5,,Столбец 6
Товары,Абая,Гагарина,Жароково,Оби,Баума,Общий
Круассаны,14700,12100,34400,16800,20800,98800
Новые Панини,,,17520,,,17520
мон,,14650,,10890,12420,37960
Новые круассаны,,,8800,,8120,16920
Альт,7110,,,,7500,14610
Мороженое,6930,,,,,6930
Лёд,4300,4300,4300,,4300,17200
Ягоды,8800,,,16900,13380,39080
Моти,9000,9000,,9000,,27000
Гербариста,,21000,,,,21000
Янс,"17944,2",,"21642,4",,"14511,4",54098
Общая Стоиомость,"68784,2",61050,"86662,4",53590,"81031,4",351118
